Fido;DOG;2020-01-01;Sit, Stay, Fetch
Whiskers;CAT;2019-05-15;Sit, Pounce;
Hammy;HUMSTER;2021-03-10;Roll, Hide;
Buddy;DOG;2018-12-10;Sit, Paw, Bark
Smudge;CAT;2020-02-20;Sit, Pounce, Scratch
Peanut;HUMSTER;2021-08-01;Roll, Spin
Bella;DOG;2019-11-11;Sit, Stay, Roll
Oliver;CAT;2020-06-30;Meow, Scratch, Jump
Thunder;HORSE;2015-07-21;Trot, Canter, Gallop
Sandy;CAMEL;2016-11-03;Walk, Carry Load
Eeyore;DONKEY;2017-09-18;Walk, Carry Load, Bray
Storm;HORSE;2014-05-05;Trot, Canter
Dune;CAMEL;2018-12-12;Walk, Sit
Burro;DONKEY;2019-01-23;Walk, Bray, Kick
Blaze;HORSE;2016-02-29;Trot, Jump, Gallop
Sahara;CAMEL;2015-08-14;Walk, Run
